latitude,longitude,MAG,DEPTH,LOCATION,IRIS_ID,DATE and TIME (UTC)?
-21.26,-68.68,4.7,123,CHILE-BOLIVIA BORDER REGION,??11013319,2019-03-11 3:33
-5.91,130.61,4.4,97,BANDA SEA,??11013318,2019-03-11 3:17
-31.65,58.11,5.1,10,SOUTHWEST INDIAN RIDGE,??11013316,2019-03-11 3:15
11.76,93.67,4.5,111,"ANDAMAN ISLANDS, INDIA REGION",??11013288,2019-03-11 1:14
59.77,-141.6,4.7,9,SOUTHEASTERN ALASKA,??11013275,2019-03-11 0:07
59.83,-141.66,4.4,18,SOUTHEASTERN ALASKA,??11013248,2019-03-10 22:40
59.62,-153.34,4.3,123,SOUTHERN ALASKA,??11013234,2019-03-10 21:44
-22.98,-178.43,4.9,399,SOUTH OF FIJI ISLANDS,??11013212,2019-03-10 19:35
15.98,-93.69,4.4,107,"NEAR COAST OF CHIAPAS, MEXICO",??11013208,2019-03-10 19:17
58.24,-31.69,4.5,10,REYKJANES RIDGE,??11013218,2019-03-10 19:13
36.75,142.45,5,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013205,2019-03-10 18:43
-35.13,53.74,4.8,10,SOUTHWEST INDIAN RIDGE,??11013203,2019-03-10 18:34
58.34,-31.96,5.9,10,REYKJANES RIDGE,??11013200,2019-03-10 18:04
58.5,-31.68,5.5,10,REYKJANES RIDGE,??11013196,2019-03-10 17:58
36.99,142.27,4.7,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013216,2019-03-10 17:39
36.8,142.45,5.1,10,"OFF EAST COAST OF HONSHU, JAPAN",??11013191,2019-03-10 17:24
-5.22,146.18,5,41,"EASTERN NEW GUINEA REG., P.N.G.",??11013190,2019-03-10 17:21
36.85,142.37,5.8,15,"OFF EAST COAST OF HONSHU, JAPAN",??11013189,2019-03-10 17:10
58.46,-31.88,5.2,10,REYKJANES RIDGE,??11013175,2019-03-10 16:23
-10.02,151.92,4.9,10,D'ENTRECASTEAUX ISLANDS REGION,??11013173,2019-03-10 15:54
-20.97,-176.36,4.5,215,FIJI ISLANDS REGION,??11013171,2019-03-10 15:21
-35.21,53.93,5.4,10,SOUTHWEST INDIAN RIDGE,??11013146,2019-03-10 13:18
-25.77,-70.6,4.8,35,NEAR COAST OF NORTHERN CHILE,??11013142,2019-03-10 13:08
-10.14,152.05,6.1,10,D'ENTRECASTEAUX ISLANDS REGION,??11013140,2019-03-10 12:48
18.95,39.4,4.6,10,RED SEA,??11013138,2019-03-10 12:32
-21.44,-66.84,4.3,229,SOUTHERN BOLIVIA,??11013133,2019-03-10 11:55
52.73,-114.94,4.3,10,"ALBERTA, CANADA",??11013168,2019-03-10 10:00
44.15,148.3,5.1,39,KURIL ISLANDS,??11013120,2019-03-10 9:52
27.89,140.06,4.3,348,"BONIN ISLANDS, JAPAN REGION",??11013121,2019-03-10 9:44
-9.56,112.66,5,66,"SOUTH OF JAVA, INDONESIA",??11013118,2019-03-10 9:21
-17.85,-178.64,4.8,570,FIJI ISLANDS REGION,??11013110,2019-03-10 8:23
-17.83,-178.66,6.2,567,FIJI ISLANDS REGION,??11013103,2019-03-10 8:12
-3.26,90.29,5.5,10,SOUTH INDIAN OCEAN,??11013097,2019-03-10 7:53
17.59,-96.68,4.3,76,"OAXACA, MEXICO",??11013089,2019-03-10 6:16
69.62,-145.53,4.3,14,NORTHERN ALASKA,??11013066,2019-03-10 4:07
-15.33,-72.44,4.5,108,SOUTHERN PERU,??11013065,2019-03-10 3:41
-30.37,-72.21,4.5,10,OFF COAST OF CENTRAL CHILE,??11013063,2019-03-10 3:09
-6.18,130.1,4.6,145,BANDA SEA,??11013059,2019-03-10 2:18
13.97,144.55,4.4,188,MARIANA ISLANDS,??11013030,2019-03-09 23:13
5.32,94.31,4.4,57,"NORTHERN SUMATRA, INDONESIA",??11013027,2019-03-09 22:42
-31.44,-70.13,4.8,116,CHILE-ARGENTINA BORDER REGION,??11013011,2019-03-09 20:45
-32.26,-179.11,4.9,10,SOUTH OF KERMADEC ISLANDS,??11012994,2019-03-09 16:25
-30.66,-71.53,4.5,52,NEAR COAST OF CENTRAL CHILE,??11013002,2019-03-09 15:22
17.48,-100.29,4.7,69,"GUERRERO, MEXICO",??11012966,2019-03-09 14:00
-5.04,151.87,4.8,110,"NEW BRITAIN REGION, P.N.G.",??11012962,2019-03-09 13:29
37.65,72.22,4.2,169,TAJIKISTAN,??11012955,2019-03-09 13:06
-7.57,128.32,4.7,152,BANDA SEA,??11012950,2019-03-09 12:33
55.27,-134.92,4.9,28,SOUTHEASTERN ALASKA,??11012941,2019-03-09 11:11
29.34,139.5,4.5,395,"SOUTHEAST OF HONSHU, JAPAN",??11012934,2019-03-09 10:07
-19.94,-69.07,4.4,100,NORTHERN CHILE,??11012936,2019-03-09 6:16
30.49,142.18,4.8,10,"SOUTHEAST OF HONSHU, JAPAN",??11012877,2019-03-09 3:07
-54.4,143.79,4.8,10,WEST OF MACQUARIE ISLAND,??11012869,2019-03-09 2:20
-30.22,-71.39,4.6,44,NEAR COAST OF CENTRAL CHILE,??11012867,2019-03-09 2:16
52.6,-175.68,4.1,223,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11012864,2019-03-09 1:16
23.79,126.7,4.2,10,SOUTHEAST OF RYUKYU ISLANDS,??11012853,2019-03-09 0:08
18.11,40.12,4.6,10,RED SEA,??11012800,2019-03-08 17:20
52.1,177.73,4.2,35,"RAT ISLANDS, ALEUTIAN ISLANDS",??11012753,2019-03-08 16:20
35.32,136.71,4.5,44,"WESTERN HONSHU, JAPAN",??11013235,2019-03-08 16:08
10.39,126.08,6,54,PHILIPPINE ISLANDS REGION,??11012721,2019-03-08 15:06
7.14,125.01,4.5,29,"MINDANAO, PHILIPPINES",??11013233,2019-03-08 14:48
-32.42,-175.99,5,10,SOUTH OF KERMADEC ISLANDS,??11012704,2019-03-08 12:51
-32.19,-178.13,5,10,SOUTH OF KERMADEC ISLANDS,??11012694,2019-03-08 11:57
13.91,-91.23,4.1,37,NEAR COAST OF GUATEMALA,??11012689,2019-03-08 11:07
-7.8,118.98,4.5,10,FLORES SEA,??11012683,2019-03-08 9:38
-3.92,139.92,5.2,10,"IRIAN JAYA, INDONESIA",??11012656,2019-03-08 5:32
54.36,159.76,4.4,108,NEAR EAST COAST OF KAMCHATKA,??11012628,2019-03-08 2:47
22.45,121.41,5.4,10,TAIWAN REGION,??11012618,2019-03-08 2:32
13.74,-91.3,4.3,10,NEAR COAST OF GUATEMALA,??11012616,2019-03-08 2:07
-2.42,140.26,4.6,10,NEAR NORTH COAST OF IRIAN JAYA,??11012529,2019-03-07 22:23
58.6,-155.15,4.8,136,ALASKA PENINSULA,??11012523,2019-03-07 22:11
48.44,153.09,4.9,128,KURIL ISLANDS,??11012492,2019-03-07 20:16
23.98,99.39,4.4,10,MYANMAR-CHINA BORDER REGION,??11012524,2019-03-07 19:37
54.78,-164.8,4.7,167,"UNIMAK ISLAND REGION, ALASKA",??11012440,2019-03-07 16:29
-32.47,-178.4,5.7,21,SOUTH OF KERMADEC ISLANDS,??11012435,2019-03-07 16:29
35.57,31.09,4.5,43,CYPRUS REGION,??11012784,2019-03-07 16:25
-29.46,-72.67,5.7,17,OFF COAST OF CENTRAL CHILE,??11012422,2019-03-07 15:34
-32.6,-177.05,5.5,10,SOUTH OF KERMADEC ISLANDS,??11012420,2019-03-07 15:27
-32.28,-178.13,4.9,10,SOUTH OF KERMADEC ISLANDS,??11012408,2019-03-07 13:02
30.43,141.4,4.8,47,"SOUTHEAST OF HONSHU, JAPAN",??11012392,2019-03-07 11:31
-22.04,-175.5,4.8,10,TONGA ISLANDS REGION,??11012384,2019-03-07 10:59
38.67,69.87,4.7,10,TAJIKISTAN,??11012381,2019-03-07 10:56
51.73,-175.29,5.1,41,"ANDREANOF ISLANDS, ALEUTIAN IS.",??11012368,2019-03-07 9:46
-26.48,27.56,4.8,10,SOUTH AFRICA,??11012366,2019-03-07 9:32
-8.15,108.52,4.6,102,"JAVA, INDONESIA",??11012355,2019-03-07 8:43
28.55,69.58,4.4,10,PAKISTAN,??11012333,2019-03-07 6:44
-30.1,-71.34,4.4,67,NEAR COAST OF CENTRAL CHILE,??11012517,2019-03-07 6:34
-18.83,-69.4,5,111,NORTHERN CHILE,??11012319,2019-03-07 5:50
-38.54,-68.88,4.4,16,SOUTHERN ARGENTINA,??11012388,2019-03-07 5:10
-6.34,-79.23,5.2,61,NEAR COAST OF NORTHERN PERU,??11012302,2019-03-07 4:05
13.45,-44.67,4.9,10,NORTHERN MID-ATLANTIC RIDGE,??11012299,2019-03-07 3:53
20.88,120.33,4.9,10,PHILIPPINE ISLANDS REGION,??11012304,2019-03-07 3:49
-32.17,-178.13,5,35,SOUTH OF KERMADEC ISLANDS,??11012284,2019-03-07 2:27
2.1,126.66,5,44,NORTHERN MOLUCCA SEA,??11012162,2019-03-06 23:56
-32.16,-177.7,5.1,10,SOUTH OF KERMADEC ISLANDS,??11012121,2019-03-06 21:42
17.95,40.2,4.5,10,RED SEA,??11012658,2019-03-06 21:33
66.31,-157.19,5.2,9,NORTHERN ALASKA,??11012117,2019-03-06 21:33
17.92,40.14,4.7,10,RED SEA,??11012133,2019-03-06 21:24
-32.26,-177.78,5.7,7,SOUTH OF KERMADEC ISLANDS,??11011957,2019-03-06 20:19
17.91,40.24,5,10,RED SEA,??11011950,2019-03-06 19:54
23.13,143.85,5,8,"VOLCANO ISLANDS, JAPAN REGION",??11011945,2019-03-06 19:29
38.71,141.76,4.9,63,"NEAR EAST COAST OF HONSHU, JAPAN",??11011947,2019-03-06 19:26
-4.12,142.92,5.6,129,"NEW GUINEA, PAPUA NEW GUINEA",??11011931,2019-03-06 18:47
38.84,141.89,4,55,"NEAR EAST COAST OF HONSHU, JAPAN",??11011943,2019-03-06 18:43
55.23,164.43,4.7,10,KOMANDORSKIYE OSTROVA REGION,??11012181,2019-03-06 16:30
-31.89,-177.93,5,10,KERMADEC ISLANDS REGION,??11011901,2019-03-06 15:59
-32.03,-177.88,6.4,29,SOUTH OF KERMADEC ISLANDS,??11011889,2019-03-06 15:46
3.54,126.99,5.1,48,"TALAUD ISLANDS, INDONESIA",??11011868,2019-03-06 13:57
16.33,-85.52,4.3,10,NORTH OF HONDURAS,??11011859,2019-03-06 10:15
14.61,-93.66,4.1,34,"NEAR COAST OF CHIAPAS, MEXICO",??11011851,2019-03-06 9:17
51.29,176.46,4.3,10,"RAT ISLANDS, ALEUTIAN ISLANDS",??11011846,2019-03-06 8:52
2.26,126.92,4.7,51,NORTHERN MOLUCCA SEA,??11011844,2019-03-06 8:39
-36.24,-97.51,5.6,10,WEST CHILE RISE,??11011831,2019-03-06 7:20
-22.74,171.58,4.7,10,SOUTHEAST OF LOYALTY ISLANDS,??11011813,2019-03-06 5:28
-55.44,-1.67,5.3,10,BOUVET ISLAND REGION,??11011806,2019-03-06 5:11
10.98,-74.79,4.5,47,NEAR NORTH COAST OF COLOMBIA,??11011804,2019-03-06 1:48
8.53,126.95,5.7,18,"MINDANAO, PHILIPPINES",??11011746,2019-03-06 0:13
10.72,-61.42,4.4,57,TRINIDAD,??11011811,2019-03-06 0:12
-9.83,-75.44,4.8,10,CENTRAL PERU,??11011707,2019-03-05 22:53
14.34,-92.86,4.9,35,"NEAR COAST OF CHIAPAS, MEXICO",??11011696,2019-03-05 21:52
-2.91,129.65,4.8,42,"SERAM, INDONESIA",??11011655,2019-03-05 20:09
-20.63,-177.88,4.5,507,FIJI ISLANDS REGION,??11011630,2019-03-05 18:32
14.43,-92.84,4.6,62,"NEAR COAST OF CHIAPAS, MEXICO",??11011683,2019-03-05 17:44
14.45,-92.66,4.2,65,"NEAR COAST OF CHIAPAS, MEXICO",??11011651,2019-03-05 17:23
51.63,16.14,4.1,5,POLAND,??11011613,2019-03-05 16:55
-29.87,-71.78,4.4,11,NEAR COAST OF CENTRAL CHILE,??11011600,2019-03-05 16:31
14.34,-93.01,5.4,23,"NEAR COAST OF CHIAPAS, MEXICO",??11011569,2019-03-05 15:58
35.99,70.3,4.4,120,"HINDU KUSH REGION, AFGHANISTAN",??11011561,2019-03-05 15:26
-5.87,132.38,4.2,35,"ARU ISLANDS REGION, INDONESIA",??11011618,2019-03-05 14:45
14.36,-92.89,4.8,40,"NEAR COAST OF CHIAPAS, MEXICO",??11011535,2019-03-05 13:45
52.05,175.2,5.1,37,"RAT ISLANDS, ALEUTIAN ISLANDS",??11011521,2019-03-05 12:01
14.39,-92.89,4.8,35,"NEAR COAST OF CHIAPAS, MEXICO",??11011523,2019-03-05 11:41
29.25,139.35,4,407,"SOUTHEAST OF HONSHU, JAPAN",??11011485,2019-03-05 9:08
5.1,94.17,4.6,35,"NORTHERN SUMATRA, INDONESIA",??11011456,2019-03-05 7:27
71.73,-12.09,4.5,10,JAN MAYEN ISLAND REGION,??11011395,2019-03-05 0:57
-2.45,121.58,4.4,10,"SULAWESI, INDONESIA",??11011301,2019-03-04 23:13
42.55,86.8,4.5,10,"NORTHERN XINJIANG, CHINA",??11011299,2019-03-04 22:28
-2.44,121.44,4.8,37,"SULAWESI, INDONESIA",??11011209,2019-03-04 18:13
38.28,-108.91,4.49,1,COLORADO,??11011105,2019-03-04 17:22
-5.05,145.99,4.4,65,"EASTERN NEW GUINEA REG., P.N.G.",??11011065,2019-03-04 15:47
15.87,-98.41,4.2,10,"OFF COAST OF GUERRERO, MEXICO",??11011061,2019-03-04 14:53
-5.1,146.02,4.4,73,"EASTERN NEW GUINEA REG., P.N.G.",??11011049,2019-03-04 14:01
53.56,108.66,4.6,10,"LAKE BAYKAL REGION, RUSSIA",??11011044,2019-03-04 13:02
-5.18,146.21,4.8,10,"EASTERN NEW GUINEA REG., P.N.G.",??11011031,2019-03-04 12:12
-13.54,-76.56,4.5,39,NEAR COAST OF PERU,??11011024,2019-03-04 11:03
-5.23,146.19,5.9,10,"EASTERN NEW GUINEA REG., P.N.G.",??11011011,2019-03-04 10:06
54.75,-160.97,4.4,44,ALASKA PENINSULA,??11010973,2019-03-04 4:51
-56.09,-27.47,4.8,104,SOUTH SANDWICH ISLANDS REGION,??11010988,2019-03-04 4:49
-33.45,-71.27,4,66,NEAR COAST OF CENTRAL CHILE,??11011510,2019-03-04 4:18
-18.05,-172.79,4.6,10,TONGA ISLANDS REGION,??11010950,2019-03-04 0:47
-8.1,122.96,4.6,10,"FLORES REGION, INDONESIA",??11010933,2019-03-03 22:51
-7.98,122.94,4.4,232,FLORES SEA,??11010917,2019-03-03 17:37
16.47,-95.06,4.6,80,"OAXACA, MEXICO",??11010881,2019-03-03 16:57
5.54,126.95,4.2,77,"MINDANAO, PHILIPPINES",??11010873,2019-03-03 16:40
18.59,-101.27,4.9,66,"GUERRERO, MEXICO",??11010858,2019-03-03 15:25
-1.5,120.16,4.9,10,"SULAWESI, INDONESIA",??11010802,2019-03-03 10:45
-30.57,-178.01,5.4,10,"KERMADEC ISLANDS, NEW ZEALAND",??11010800,2019-03-03 10:31
-8.63,-74.4,4.3,152,PERU-BRAZIL BORDER REGION,??11010781,2019-03-03 8:12
28.83,67.41,4.5,16,PAKISTAN,??11010759,2019-03-03 6:33
-12.8,45.5,4.5,10,NORTHWEST OF MADAGASCAR,??11010727,2019-03-03 3:00
11.32,-86.68,4.3,35,NEAR COAST OF NICARAGUA,??11010709,2019-03-03 1:19
1.16,97.22,4.4,35,"NORTHERN SUMATRA, INDONESIA",??11010684,2019-03-02 22:30
-18.65,169.3,4.6,270,VANUATU ISLANDS,??11012631,2019-03-02 20:54
2.79,128.54,4.5,230,"HALMAHERA, INDONESIA",??11012633,2019-03-02 20:46
20.89,121.6,4.5,63,PHILIPPINE ISLANDS REGION,??11012634,2019-03-02 20:34
-33.66,-72.64,5.5,11,OFF COAST OF CENTRAL CHILE,??11010659,2019-03-02 20:21
18.6,120.43,5.6,15,"LUZON, PHILIPPINES",??11010652,2019-03-02 19:46
22.28,143.76,4.9,122,"VOLCANO ISLANDS, JAPAN REGION",??11010630,2019-03-02 16:34
30.88,142.18,5.3,10,"SOUTHEAST OF HONSHU, JAPAN",??11010620,2019-03-02 15:51
18.25,-81.68,4.1,10,NORTH OF HONDURAS,??11010589,2019-03-02 12:55
-9.79,150.1,4.8,10,"EASTERN NEW GUINEA REG., P.N.G.",??11010585,2019-03-02 12:27
30.37,-114.11,4.3,10,GULF OF CALIFORNIA,??11010575,2019-03-02 11:42
30.67,57.36,4.3,10,NORTHERN AND CENTRAL IRAN,??11010565,2019-03-02 10:04
46.16,149.83,4.6,165,KURIL ISLANDS,??11010556,2019-03-02 8:06
-33.7,-72.53,4.5,10,OFF COAST OF CENTRAL CHILE,??11010555,2019-03-02 7:57
46.52,-27.34,4.9,10,NORTHERN MID-ATLANTIC RIDGE,??11010525,2019-03-02 6:00
41.93,146.95,6,10,"OFF COAST OF HOKKAIDO, JAPAN",??11010494,2019-03-02 3:22
-6.99,155.76,5.2,69,SOLOMON ISLANDS,??11010486,2019-03-02 2:17
16.92,59.91,4.5,10,OWEN FRACTURE ZONE REGION,??11010470,2019-03-02 1:17
30.86,142.25,4.8,12,"SOUTHEAST OF HONSHU, JAPAN",??11010460,2019-03-02 0:47
-7.25,120.3,4.6,559,FLORES SEA,??11010445,2019-03-01 23:51
-0.11,125.13,4.3,54,SOUTHERN MOLUCCA SEA,??11012837,2019-03-01 23:23
-23.98,179.99,4.8,508,SOUTH OF FIJI ISLANDS,??11010435,2019-03-01 22:57
-15.26,-177.39,4.2,405,FIJI ISLANDS REGION,??11012836,2019-03-01 22:49
-30.56,-71.67,5.2,14,NEAR COAST OF CENTRAL CHILE,??11010434,2019-03-01 22:43
36.53,141.06,4.4,43,"NEAR EAST COAST OF HONSHU, JAPAN",??11010346,2019-03-01 21:03
16.97,120.72,4.6,99,"LUZON, PHILIPPINES",??11010422,2019-03-01 20:51
53.97,170.57,4.2,26,"NEAR ISLANDS, ALEUTIAN ISLANDS",??11010420,2019-03-01 19:47
-11.98,167.83,4.8,342,SANTA CRUZ ISLANDS,??11010268,2019-03-01 14:38
-22.26,-68.71,4.2,115,NORTHERN CHILE,??11010247,2019-03-01 11:55
-7.18,129.36,4.4,145,BANDA SEA,??11010240,2019-03-01 10:21
7.25,127.03,4.9,35,PHILIPPINE ISLANDS REGION,??11010224,2019-03-01 9:27
-14.68,-70.13,7,257,CENTRAL PERU,??11010219,2019-03-01 8:50
-6.25,142.71,4.7,35,"NEW GUINEA, PAPUA NEW GUINEA",??11010205,2019-03-01 7:18
20.17,72.84,4,10,SOUTHERN INDIA,??11010192,2019-03-01 5:44
-26.27,27.8,4.8,10,SOUTH AFRICA,??11010527,2019-03-01 4:56
56.43,-148.69,4,10,GULF OF ALASKA,??11010164,2019-03-01 3:41
10.99,-86.38,4.5,35,OFF COAST OF COSTA RICA,??11010160,2019-03-01 3:21
-55.65,-26.46,4.5,10,SOUTH SANDWICH ISLANDS REGION,??11012827,2019-03-01 2:56
13.57,-88.54,4.5,200,EL SALVADOR,??11010153,2019-03-01 2:01
-53.41,159.54,5.8,10,MACQUARIE ISLAND REGION,??11010051,2019-03-01 1:02
5.04,125.38,5.2,181,"MINDANAO, PHILIPPINES",??11010055,2019-03-01 1:00
36.93,71.47,4,190,AFGHANISTAN-TAJIKISTAN BORD REG.,??11010520,2019-03-01 0:39
-28.23,-63.23,5.5,574,"SANTIAGO DEL ESTERO PROV., ARG.",??11009986,2019-03-01 0:13
12.82,124.56,4.2,104,"SAMAR, PHILIPPINES",??11012833,2019-02-28 21:47
50.37,155.61,4.6,142,KURIL ISLANDS,??11009886,2019-02-28 20:45
-17.57,-69.75,4.8,151,PERU-BOLIVIA BORDER REGION,??11009978,2019-02-28 20:43
37.65,20.94,4.9,10,IONIAN SEA,??11009972,2019-02-28 20:09
-37.51,179.19,5.1,10,"OFF E. COAST OF N. ISLAND, N.Z.",??11009876,2019-02-28 19:55
-42.78,-74.21,4.8,24,SOUTHERN CHILE,??11009940,2019-02-28 18:17
27.37,128.66,4.6,42,"RYUKYU ISLANDS, JAPAN",??11009916,2019-02-28 17:52
-4.6,137.83,4.4,44,"IRIAN JAYA, INDONESIA",??11009909,2019-02-28 16:57
-2.06,99.91,4.8,30,"SOUTHERN SUMATRA, INDONESIA",??11009808,2019-02-28 14:18
56.65,-34.49,4.5,10,REYKJANES RIDGE,??11009812,2019-02-28 12:35
-6.01,130.57,4.4,110,BANDA SEA,??11009739,2019-02-28 8:47
67.96,-18.94,4.4,10,ICELAND REGION,??11009733,2019-02-28 7:43
67.92,-18.75,4.4,10,ICELAND REGION,??11009732,2019-02-28 7:37
-8.1,117.88,4.7,10,"SUMBAWA REGION, INDONESIA",??11009729,2019-02-28 7:12
5.67,126.17,4.5,96,"MINDANAO, PHILIPPINES",??11009734,2019-02-28 5:16
7.54,94.17,4.7,10,"NICOBAR ISLANDS, INDIA REGION",??11009712,2019-02-28 5:00
-24.04,-67.07,4.6,187,CHILE-ARGENTINA BORDER REGION,??11009684,2019-02-28 4:10
-10.76,166.09,4.5,120,SANTA CRUZ ISLANDS,??11009649,2019-02-28 1:37
-7.38,105.19,4.7,38,"JAVA, INDONESIA",??11009637,2019-02-28 0:54
68.07,-18.55,4.3,10,ICELAND REGION,??11012638,2019-02-28 0:17
40.93,140.34,4.4,143,"EASTERN HONSHU, JAPAN",??11009631,2019-02-28 0:13
7.3,94.41,5,114,"NICOBAR ISLANDS, INDIA REGION",??11009623,2019-02-28 0:00
67.97,-18.76,4.3,10,ICELAND REGION,??11012645,2019-02-27 23:52
-1.3,101.6,5.4,10,"SOUTHERN SUMATRA, INDONESIA",??11009614,2019-02-27 23:27
2.27,-97.82,4.5,10,WEST OF GALAPAGOS ISLANDS,??11009728,2019-02-27 14:41
